OBJECTID,type,Shape__Area,Shape__Length
1,Heat Perimeter,2206.265625,270.199718551912
2,Heat Perimeter,20710.20703125,839.204218366625
3,Heat Perimeter,3639.23828125,250.304501915303
4,Heat Perimeter,1464.55078125,148.106791843734
5,Heat Perimeter,4132.75390625,247.960743890471
6,Heat Perimeter,834.5546875,107.85995507801
7,Heat Perimeter,288.1171875,70.0415979387116
8,Heat Perimeter,2879.51171875,275.409854850437
9,Heat Perimeter,83886.4140625,1880.91846873724
10,Heat Perimeter,68396.9765625,1518.79297169976
11,Heat Perimeter,1992.6484375,179.590376536153
12,Heat Perimeter,5759.84375,394.342477070331
13,Heat Perimeter,4320.86328125,265.380437683352
14,Heat Perimeter,14108.41796875,576.750228271452
15,Heat Perimeter,240.54296875,59.202169862184
16,Heat Perimeter,104.5546875,44.1211151654648
17,Heat Perimeter,8.78125,13.4043821010682
18,Heat Perimeter,83147794.7929688,97603.9861894346
19,Heat Perimeter,1032.08203125,136.435083839252
20,Heat Perimeter,128.34375,51.2032091785353
